Album,Song,Lyrics
have one on me,2010,have one on me,from the courtyard i floated in and watched it go down heard the cup drop thought well thats why they keep them around the blackguard sat hard down with no head on him now and i felt so bad cause i didnt know how to feel bad enoughto make him proud by the time you read this i will be so far away daddy longlegs how in the world am i to be expected to stayin the night in the night you may hear me call pa stay your hand and steel your resolve stay where you are so long and tall heres lola ta da to do her famous spider dance for you lighten up your pockets shake her skirts and scatter there a shrieking six legged millionaire with a blight in his sockets miss montez the countess of lansfeld appealed to the king of bavaria saying pretty papa if you are my friend mister daddy longlegs they are at it again can i see you poor lola a tarantulas mounting countess lansfelds handsome brassiere while they all cheer and the old king fell from grace while lola fled to save face and her career you caught a fly floating by wait for him to drown in the dust drown in the dust of other flies whereby the machine is run and the deed is done heaven has no word for the way you and your friends have treated poor louis may god save your poor soul lola but there is nothing i adore apart from that whores black heart well doesnt that just beat allmiss gilbert called to castle maine by the silver dollar and the gold glitter well ive seen lots but never in a million years would think to see you here though the long road begins and ends with you i cannot seem to make amends with you louis when we go out theyre bound to see you with me at night i walk in the park with a whip between the lines of the whispering jesuits who are poisoning you against me theres a big black spider hanging over my door cant go anywhere anymore tell me are you with mei called to you several times while the change took placeand then arrived all night and i died but all these songs when you and i are long gone will carry on mud in your eye you asked my hand hired a band in your heart is all that you need ask and you will receive  it is said i threw my bouquet and i knocked em dead bottle of white bottle of red helpless as a child when you held me in your arms and i knew that no othercould ever love me as you loved love me as you loved but help me im leavingi remember everything down to the sound of you shaving —the scrape of your razor the dullyabrading black hairthat remainedwhen you clutched at me that night i came upstairs halfdead and in your kindness you put me straightawayin the cupboard with a bottle of champagne and then later on a train it was dark out i was halfdead i saw a star fall into the sky like a chunk of thrown coal as if god himself spatlike a cornered rat i really want you to do this for me will you have one on meit was dark i was drunk and halfdead and we slept knocking heads sitting up in the starsmoking air knocking heads like buoys dont you worry for mewill you have one on memeanwhile i will raise my own glassto how you made me fastand expendable and i will drink to your excellent health and your cruelty will you have one on me— helpless as a child when you held me in your arms and i knew that no other could ever love me from the courtyard i floated in and watched it go down heard the cup drop thought well thats whythey keep them around the blackguard sat hard down with no head on him now and i felt so bad cause i didnt know howto feel bad enough to make him proud well daddy longlegs are you daddy longlegs are you daddy longlegs are you proud
have one on me,2010,81,i found a little plot of land in the garden of eden it was dirt and dirt is all the same i tilled it with my two hands and i called it my very own there was noone to dispute my claim well youd be shocked at the state of things the whole place had just cleared right out it was hottern hell so i laid me by a spring for a spell as naked as a trout the wandering eye that i have caught is as hot as a wandering sun but i will want for nothing more in my garden start again in my hardening to every heart but one meet me in the garden of eden bring a friend we are gonna have ourselves a time we are gonna have a garden party its on meno sirree its my dime we broke our hearts in the war between st george and the dragon but both in equal parts are welcome to come along im inviting everyone farewell to loves that i have known even muddiest waters run tell me what is meant by sin or none in a garden seceded from the unionin the year of ad 1 the unending amends youve made are enough for one life be done i believe in innocence little darling start again i believe in everyone i believe regardless i believe in everyone 
have one on me,2010,good intentions paving company,twenty miles left to the show hello my old country hello stars are just beginning to appear and i have never in my life before been here and its my heart not me who cannot drive at which conclusion you arrived watching me sit here bolt upright and cry for no good reasonat the eastering sky and the tilt of this strange nation and the will to remain for the duration waving the flag feeling it drag like a bump on a bump on a log baby like im in a fistfight with the fog baby step ball change and apirouette and i regret i regret how i said to you honey just open your heart when ive got trouble even opening a honey jar and that right there is where we are and ive been fessing double fast addressing questions nobody asked ill get this joy off of my chest at last and i will love you till the noise has long since passed and i did not mean to shout just drive just get us out dead or alive the roads too long to mention lord its something to see laid down by the good intentions paving company all the way to the thing weve been playing at darling i can see that youre wearing your staying hat darling and for the time being all is well wont you love me a spell this is blindness beyond all conceiving while behind us the road is leaving and leaving and falling back like a rope gone slack and i saw straightaway that the lay was steep but i fell for you honey easy as falling asleep and that right there is the course i keep and no amount of talking is going to soften the fall but like after the rain step out of the overhang thats all it had a nice ring to it when the old opry house rang so with a solemn auld lang syne sealed delivered i sang and there is hesitation and it always remains concerning you me and the rest of the gang and in our quiet hour i feel i see everything and am in love with the hook upon which everyone hangs and i know you meantto show the extentto which you gave a goddang —you ranged real hot and real cold but im sold i am at home on that range and i do hate to fold right here at the top of my game when ive been tryingwith my whole heart and soulto stay right here in the right lane but it can make you feel over and oldlord you know its a shame when i only want for you to pull over and hold me till i cant remember my own name 
have one on me,2010,no provenance,allelu allelui have died happy and lived to tell the tale to you i have slept for forty years and woke to find me gone i woke safe and warm in your arms in your arms your arms in your arms not informed of the natural law squatting lordly on a stool in a stall we spun gold clear out of straw and when our bales of bullion were stored you burned me like a barn i burned safe and warm in your arms in your arms your arms im afraid of the big return theres a certain conversation lost and that loss incurred with nobody remaining to register who had passed this way in the night in the middle of the night negating their grace and their sight till only i remember or mark how we had our talk we took our ride so that there was noone home and the lights of rome flickered and died and whats more i believe that you knew it too i think you saw their flares and kept me safely unawares in your arms your arms in your arms the grass was tall and strung with burrs i essayed that high sashay which in my mind was my way you hung behind in yours anyhow she did not neigh i do not know what drew our eyes to hers that little black mare did not stir till i lay down in your arms poor old dirty little dog size horse swaying and wheezing as a matter of course swaying and wheezing as a matter of pride that poor old nag not four palms wide had waited a long time coated in salt buckled like a ship run foul of the fence and in the middle of the night shed sprung up no provenance bearing the whites of her eyes and you with your arrangement with fate nodded sadly at her lame assaulton that steady old gate her faultlessly etiolated fishbelly face the muzzle of a ghost and pretty johnny appleseed via satellite feed tell us who was itthat you then loved the most pretty johnny appleseed leave a trail that leads straight back down to the farm lay me downsafe and warm in your arms in your arms 
have one on me,2010,baby birch,this is the song for baby birch i will never know you and at the back of what weve done there is that knowledge of you well i wish we could take every path i could spend a hundred years adoring you yes i wish we could take every path because you know i hated to close the door on you do you remember staring up at the stars so far away in their bulletproof cars we heard the rushing slow intake of the dark dark water and the engine breaks and i said how about them engine breaks and if i should die before i wake will you keep an eye on baby birch because id hate to see her make the same mistakes when it was dark i called and you came when it was dark i saw shapes when i see stars i feel in your hand and i see stars and i reel again well mercy me ill be goddamned its been a long long timesince i last saw you and i have never known the plan its been a long long time how are youyour eyes are green your hair is gold your hair is black your eyes are blue i closed the ranks and i doubled back but you know i hated to close the doggone door on you we take a walk along the dirty lake hear the goose cussing at me over her eggs you poor little cousin i dont want your dregsa little baby fussing over my legs there is a blacksmith and there is a shepherd and there is a butcherboy and there is a barber whos cutting and cutting away at my only joy i saw a rabbit as slick as a knife and as pale as a candlestick and i had thought itd be harder to do but i caught her and skinned her quick held her there kicking and mewling upended unspooling unsung and blue told her wherever you go little runaway bunny i will find you and then she ran as theyre liable to do be at peace baby and be gone be at peace baby and be gone 
have one on me,2010,on a good day,hey hey hey the end is nearon a good day you can see the end from here but i wont turn back now though the way is clear i will stay for the remainder i saw a life and i called it mine i saw it drawn so sweet and fine and i had begun to fill in all the lines right down to what wed name her our nature does not change by will in the winter round the ruined mill the creek is lying flat and still it is water though its frozen so cross the years and miles and through on a good day you can feel my love for you will you leave me be so that we can stay true to the path that you have chosen
have one on me,2010,you and me bess,we picked our way down to the beach watching the waves dragging out of our reach tangling tails like a sodden sheet dangling entrails from the gut of the sea hoarding our meals alfalfa and rolls trying not to catch the cold eye of the gulls —i hope mother nature has not overheard though she doles out hurt like a puking bird we stayed for the winter noone told us about the laws of the land i hold my own but you with your hunger you on the other hand make yourself known and when we were found i know we both grieved my heart made the sound ofsnow falling from eaves you and me bess we was as thick as thieves so i swore nonetheless up and down it was only me so they took me away and after some time studying my case must have made up their minds by the time you realized i was dying must have been too late i believe you were not lying it is the day i wake with my ears cocked up like a gun like every day of course yanked by my wrists to the sugar front courtyard now tell me what have i done seems i have stolen a horse and i step to the gallows who do you think that you are arching your hooves like a crane in the shallow gutter that lines the boulevards crowded with folks who just stare as i hang its all the same kindness comes over me what was your nameit makes no difference im glad that you came forever ill listen to your glad neighing 
have one on me,2010,in california,my heart became a drunken runton the day i sunk in this shunt to tap me clean of all the wonder and the sorrow i have seen since i left my home my home on the old milk lake where the darkness does fall so fast it feels like some kind of mistake just like they told you it would just like the tulgey wood when i came into my land i did not understand neither dry rot nor the burn pile nor the bark beetle nor the dry well nor the black bear but there is another who is a little older when i broke my bone he carried me up from the riverside to spend my life in spitting distance of the love that i have known i must stay here in an endless even tide and if you come and see me you will upset the order you cannot come and see me for i set myself apart but when you come and see me in california you cross the border of my heart well i have sown untidy furrows across my soul but i am still a coward content to see my garden grow so sweet full of someone elses flowers sometimes i can almost feel the power sometimes i am so in love with you like a little clock that trembles on the edge of the hour only ever calling out cuckoo cuckoo when i called you you little one in a bad way did you love me do you spite me time will tell if i can be well and rise to meet you rightly while moving across my land brandishing themselveslike a burning branch advance the tallow colored walleyed deer quiet as gondoliers while i wait all night for you in california watching the fox pick off my goldfish from their sorry golden state and i am no longer afraid of anything save the life that here awaits i dont belong to anyone my heart is heavy as an oil drum i dont want to be alone my heart is yellow as an ear of corn and i have torn my soul apart from pulling artlessly with fool commands some nights i just never go to sleep at all and i stand shaking in my doorway like a sentinel all alone bracing like the bow upon a ship and fully abandoningany thought of anywherebut home my home sometimes i can almost feel the power and i do love you is it only timing that has made it such a dark hour only ever chiming out cuckoo cuckoomy heart i wear you down i know gotta think straight keep a clean plate keep from wearing down if i lose my head just where am i going to lay itfor it has halfruined me to be hanging around here among the daphne blooming out of the big brown i am native to it but im overgrown i have choked my rootson the earth as rich as roe here down in california 
have one on me,2010,jackrabbits,i was tired of being drunk my face cracked like a joke so i swung through here like a brace of jackrabbits with their necks all broke i stumbled at the door with my boot and i knocked against the jamb and i scrabbled at your chest like a mute with my fists of ham trying to tell you that i am telling you i can i can love you again love you again im squinting towards the east my faith makes me a dope but you can take my hand in the darkness darling like a length of rope i shaped up overnight you know the day after she died when i saw my heart and ill tell you darling it was open wide what with telling you i am telling you i can i can love you again love you again and it can have no bounds you know it can have no end you can take my hand in the darkness darling when you need a friend and it can change in shape or form but never change in size well the water it ran deep my darling where it dont run wide the feather of a hawk was bound bound around my neck a poultice made of fig the eager little vultures pecked and a verse i read in jest in matthew spoke to me said theres a flame that moves like a lowdown pest and says you will be free only tell me that i can tell me that i can i can love you again love you again love you again love you again love you again love you again love you again love you again love you again love you again love you again love you   
have one on me,2010,go long,last night again you were in my dream several expendable limbs were at stake you were a prince spinning rims all sentiments indian given and halfbaked i was brought in on a palanquinmade of the many bodies of beautiful women brought to this place to be examined swaying on an elephanta princess of india we both want the very same thing we are praying i am the one to save you but you dont even own your own violence run away from home your beard is still blue with the loneliness of you mighty men with your jaws and fists and guitars and pens and your sugarlip but ive never been to the firepits with you mighty men who made you this waywho made you this waywho is going to bear your beautiful children do you think you can just stop when youre ready for a change who will take care of you when youre old and dying you burn in the mekong to prove your worth go long go long right over the edge of the earth you have been wronged tore up since birth you have done harm others have done worse will you tuck your shirt will you leave it loose you are badly hurt youre a silly goose you are caked in mud and in blood and worse chew your bitter cud grope your little nurse do you know why my ankles are bound in gauze sickly dressage a princess of kentucky in the middle of the woods which were the probable cause we danced in the lodge like two panting monkeys i will give you a call for one last hurrah and if this tale is tall forgive my scrambling but you keep palming along the wall moving at a blind crawl but always rambling wolfspider crouch in your funnel nest if i knew you once now i know you less in the sinking sand where weve come to rest have i had a hand in your loneliness when you leave me alone in this old palace of yours it starts to get to me i take to walking what a woman does is open doors and it is not a question of lockingor unlocking well i have never seensuch a terrible room —gilded with the gold teethof the women who loved younow though i die magpie this i bequeathby any other name a jay is still bluewith the lonelinessof you mighty men with your mighty kissthat might never never end while so far away in the seat of the west burns the fountof the heatof that loneliness theres a manwho only will speak in code backing slowly slowly down the road may he master everythingthat such men may knowabout loving and then letting go 
have one on me,2010,occident,mercy me the night is long take my pen to write you this song lord is it harder to carry on or to know when you are done all my life ive felt as though im inside a beautiful memory replaying with the sound turned down low long life show your face slow heart curb your taste smoke me out of my hiding place longlife state your case what in the world are we waiting for building glowing cities along the shore where the wind batters in baiting my kin like a matador so much value placed upon what lies just beyond our plans waving my handkerchief running along till the end of the sand longlife speak your name so tired of the guessing game but something is moving just out of frame slow heart brace and aim breaching slowly across the sea one mast a flash like the stinger of a bee to take you away a swarming fleet is gonna take you from me the universe is getting loose sodden spread from some leaden disuse rushing unhinged toward diminishing lights like a headless caboose ill wait for you alongside the ocean and make do with my no skin but then long life will you let me inand then slow heart are you gonna know him long life speak your name i wait while i decry the wait and when i die may i relate slow heart congregate to leave your home and your family for some distortion of property well darling i cant go but you may stay here with me 
have one on me,2010,soft as chalk,so so long ago and so far away when time was just a line that you fed me when you wanted to stay wed talk as soft as chalk till morning came pale as a pearl no time no time now i have got all the time in the world say honey did you belong to me tell me honey was your heart at rest when darlin all the mourning doves were howling usa song of loves godawful lawlessness lawlessness say honey did you belong to me tell me honey did i pass your test i lay as still as death until the dawn where upon i wrested from your godawful lawlessness lawlessness i roam around the tidy grounds of my dappled sanatorium coatless i sit amongst the motes adrift and i dote upon my pinesap gum and the light through the pines in brassy tines lays over me dim as rum and thick as molasses and so time passes and so my heart tomorrow comes i feel you leaning out back with the crickets loyal heart marking the soonness darkness tonight still the mourning doves will summon us their songof loves neverdoneing lawlessness lawlessness while over and over rear up stand down lay round trying to sound out or guess the reasons i sleep like a soldier without rest but there is no treason where there is only lawlessness lawlessness in the last week of the last year i was aware i took a blind shot across the creek at the black bear when he roused me in the night and left me cowering with my light calling out who is there whos there who is there i watched you sleep repeating my prayer you give love a little shove and it becomes terror and now i am calling in a sadness beyond anger and beyond fear who is there whos there who is there i glare and nod like the character god bearing down upon the houses and lawns i knew a little bit but darling you were it and darling now it is long gone sweetheart in your clean bright start back there behind a hill and a dell and a state line or two —ill be thinking of you yes ill be thinking and be wishing you well we land i stand but i wait for the sound of the bell i have to catch a cab and my bags are at the carousel and then — lord just then —time alone will only tell you mourning dove 
have one on me,2010,esme,i can feel a difference today a difference all of us in our tents fearing god like a mistress we lay on the rocks in the sun watching you and your mama row in i sat up and blinked when you appeared so pale you were nearly clear later i stumbled to my bed all alone in the branches i laid in the dark thinking about all of my friends and their changes and i do not know if you know just what you have done you are the sweetest one i have ever laid my eyes upon its a beautiful town with the rain coming down blackberry rosemary jimmycrackcorn youve got the run of the place now that youre running around and may kindness kindness kindness abound in this hour of our lives hour of effortless plenty how do we know which parts of our hearts want what with such base generosity taking so many photographs so amazed weve never seen a baby so newlyborn and when the bulbs do flash as bright as morning the crowd keeps on gathering like an electric storm the phantom of love moves among us at will each phantom limb lost has got an angel so confused like the wagging bobbedtail of a bulldog kindness kindness prevails kindness prevail sties and rails ties and rails fall into line bearing kindness where will you go if not here what will you say when you write to usand this is a world of terrible hardship everywhere and i search for words to set you at ease but there in the looking glass a kite is soaring stilling my warring heartand my trembling knees clean as a breeze bright as the day all of the people gather to say sweet esme sweet esme oh oh oh i believe love will always surround you brave as a bear with a heart rare and true but if you are scared if you are blue i have prepared this small song for you sweet esme sweet esme oh oh oh sweet esme sweet esme oh oh oh sweet esme esme sweet esme sweet esme oh oh oh
have one on me,2010,autumn,driven through by her own sword summer died last night alone even the ghosts huddled up for warmth autumn has come to my hometown friendly voices dead and gone singing star of the country down even the ghosts help raise the barn here now in my hometown when out of the massing that bodes and bides in the cold west flew a waxwing who froze and died against my breast and all the while rain like a weed in the tide swans and lists down on the gossiping lawns saying tsk tsk tsk i may have changed its hard to gauge time wont account for how ive aged would i could tie your lying tongue who says that leaving keeps you young and i have got no control over my heart over my mind over the hills the rainclouds roll ill winter here wait for a signto cast myself out over the water riven like a wishbone youd hardly guess i was my own mothers daughter i aint naturally given to roam and i lay low when i return and i move like a gurney whose wheels are squeaking alone here in my home and i laugh when you speak of my pleasure seeking among the tall pines along the laylines here where the loon keens there where the moon leans there where i know my violent love lays down in a row of silent dove gray days here in a row of silent dove gray days wherever i go i am snowbound by thoughts of him whom i would shun i loved them all one by one cannot gain ground cannot outrun but time marches along you cant always stick around but when the final count is done i will be in my hometown i will be in my hometown 
have one on me,2010,ribbon bows,there is a spring not far from here the water runs both sweet and clear both sweet and clear and cold could crack your bones with veins of gold i stood awagging at the tap just awaiting on the lagging rising sap i held the cold tin ladle to my lip at the shrine of the thousand arms i lowered my eyes to sip what a beautiful day to catch my drift or be caught up in it you want your love love come and get your love i only took it back because i thought you didnt how my ears did ring at the municipal pound from that old hangdog to which i was bound curled round the bottom rung doesnt nobody want you well come on darlin i could use someone like you around i am not like you i aint from this place and i do reserve the right to repeat all my same mistakes and in the night like you i certainly bite and chew what i can find and never seem to lose the taste what a horrible face i feel me make for petes sake what you have told me i cannot erase though i keep on saying and i do believe it is not too late all day youre hassling me with trifles black nose of the dog as cold as a rifle indicating with a nudge god no god god no god sweet appraising eye of the dog blink once if god twice if no god my mama may be ashamed of me with all of my finery carrying on whooping it up till the early morn lost and lorn among the madding revelry sure i can pass honey i can pass particularly when i start to tip my glass ill be a sport and have a go at that old song singing unabashed about them city girls with their ribbon bows and their fancy sash but though i get so sad could swear the night makes a motion to claim me around that second verse i reckon ive felt worse and still held fast but later on when i am alone alone at last well i take my god to task i take my daggone god to task 
have one on me,2010,kingfisher,whose is the hand that i will hold whose is the face i will see whose is the name that i will call when i am called to meet thee in this life who did you love beneath the drifting ashes beneath the sheeting banks of air that barrenly bore our rations when i could speak it was too late didnt you hear me calling didnt you see my heart leap like a pup in the constant barley in this life where did you crouch when the sky had set to boiling burning within seen from without and your gut was a serpent coiling and for the sake of that pit of snakes for whom did you allay your shyness and spend all your mercy and madness and grace in a day beneath the bending cypress it was not on principal show pro heart that you have got gall a miracle i can bear a lot but not that pall i can bear a lot but not that pall king fisher sound the alarm say sweet little darlin now come to my arms tell me all about the love you left on the farm he was a kind unhurried man with a heavy lip and a steady hand but he loved me just like a little child like a little child loves a little lamb thrown to the ground by something down there bitten by the bad air while the clouds tick trying to read all the signs preparing for when the bombs hit hung from the underbelly of the earth while the stars skid away below gormless and brakeless gravel loose falling silent as gavels in the snow i lay back and spit my chaw wrapped in the long arm of the law who has seen it all i can bear a lot but not that pall i can bear a lot but not that pall kingfisher cast your fly oh lord it happens without even trying when i sling a low look from my shuttering eye blows rain upon the one you loved and though you were only sparring theres blood on the eye unlace the glove say honey i am not sorry stand here and namethe one you loved beneath the drifting ashes and in naming rise above time as it flashing passes we came by the boatload and were immobilizedworshipping volcanoes charting the loping skies the tides of the earthleft us bound and calcified and made as obstinate as obsidian unmoving save our eyesjust mooning and blinkingfrom faces marked with coal ash cooling and shrinkingcracks loud as thunder rolling i swear i know you you know me where have we met beforetell me trueto whose authoritydo you consign your souli had a dream you came to me said you shall not do me harm anymore and with your knife you evicted my lifefrom its little lighthouseon the seashore and i saw that my bloodhad no bounds spreading in a circle like an atom bomb soaking and fellingeverything in its path and welling in my heart like a birdbath it is too short —the day we are born we commence with our dying trying to serve with the heart of a child kingfisher lie with the lion 
have one on me,2010,does not suffice,i will pack up my pretty dresses i will box up my highheeled shoes a sparkling ring for every finger ill put away and hide from view coats of bouclé jacquard and cashmere cartouche and tweed all silver shot and everything that could remind you of how easy i was not ill tuck away my gilded buttons ill bind my silks in shapeless bales wrap it all on up in reams of tissue and then ill kiss you sweet farewell you saw me rise to our occasion and so deny the evidence caused me to burn and twist and grimace against you like something caught on a barbedwire fence now you can see me fall back here redoubled full bewildered and amazed i have gotten into some terrible trouble beneath your blank and rinsing gaze it does not suffice for you to say i am a sweet girl or to say you hate to see me sad because of you it does not suffice to merely lie beside each other as those who love each other do i picture you rising up in the morning stretching out on your boundless bed beating a clear path to the shower scouring yourself red the tap of hangers swaying in the closet unburdened hooks and empty drawers and everywhere i tried to love you is yours again and only yours 
divers,2015,anecdotes,sending the first scouts over back from the place beyond the dawnhorse bear your broken soldier eyes frozen wide at what went on and time in our camp is moving as youd anticipate it to but what is this sample proving anecdotes cannot say what time may do i kid with rufous nightjar when our men are all asleep it aint about how rare you are but how hard you are to see take you and me “when are you from” said he in our blind of winter leaves as we sighted out their fliers in the grayscale of the night fumbled on the bare ground to bury round landmines while the dew lay down and dried we signal private poor will when morning starts to loom pull up from your dive till we hear the telltale boom too soon hotdogging loon caught there like a shard of mirror in the moon now theyve stopped giving orders but i follow anyway laying in our state of torpor waiting out the day while the dew burns away rushing tearing speeding homebound to a wheel that is not my own where round every bend i long to see temporal infidelity and all along the road the lights stream by i want to go where the dew wont dry i want to go where the light wont bend far as the eye may reach nor end but inasmuch as that light is loaned insofar as weve borrowed bones must every debt now be repaid in star spotted sickle winged night raids while we sing to the garden and we sing to the stars and we sing in the meantime wherever you arein the folds and the branches somewhere out there i was only just born into open air now hush little babe you dont want to be down in the trenches remembering with me where you will not mark my leaving and you will not hear my parting song nor is there cause for grieving nor is there cause for carrying on and daughter when you are able come down and join the kettles on and your familys round the table will you come down before the sun is gone
divers,2015,sapokanikan,the cause is ozymandian the map of sapokanikanis sanded and beveled the land lone and leveled by some unrecorded and powerful hand which plays along the monument and drums upon a plastic bag the brave men and women so dear to god and famous to all of the ages rag sing do you love me will you remember the snow falls above me the renderer renders the event is in the hand of god beneath a patch of grass her bones the old dutch master hid while elsewhere tobias and the angel disguised what the scholars surmised was a mother and kid interred with other daughters in dirt in other potters fields above them parades mark the passing of days through parks where pale colonnades archin marble and steel where all of the twenty thousand attending your foot fall and the cause that they died for are lost in the idling bird calls and the records they left are cryptic at best lost in obsolescence the text will not yield nor xray reveal with any fluorescence where the hand of the master begins and ends i fell i tried to do well but i wont be will you tell the one that i loved to remember and hold me i call and call for the doctor but the snow swallows me whole with old florry walker the event lives only in print he said its alright and its all over now  and boarded the plane his belt unfastened the boy was known to show unusual daring and called a boy this alderman confounding tammany hall in whose employ king taman end himself preceded johns fall so we all raise a standard to which the wise and honest soul may repair to which a hunter a hundred years from now may look and despair and see with wonder the tributes we have left to rust in the parks wearing that our hair stood on end to see john purroy mitchel depart for the western front where work might count all exeunt all go out await the hunter to decipher the stone and what lies under now the city is gone look and despair look and despair 
divers,2015,leaving the city,hay and a clean stall and ivy on a garden wall and a sign saying sold and an old coat for the bad cold i believe in you do you believe in me what do you want to do are we leaving the city on the black road through the gold fields while the fields are plowed towards what we are allowed the bridle bends in idle hands and slows our canter to a trot we mean to stop in increments but cant commit we post and sit in impotence the harder you hit the deeper the dent we seek our name we seek our fame and our credentials paned in glass trained to master incidentals bleach our collar leech our dollar from our cents the longer you live the higher the rent beneath the pale sky beside the red barn below the white clouds is all we are allowed here the light will seep and the scythe will reap and spirit will rend in counting toward the end in december of that year the word came down that she was here the days grew shorter i was sure if she came round id hold my ground id endure but theyd alluded to a change that came to pass and spring deranged weeping grass and sleepless broke herself upon my window glass and i could barely breathe for seeing all the splintered light that leaked her fissures fleeing launched in flight unstaunched daylight brightly bleeding bleached the night with dawn deleting in that high sun after our good run when the spirit bends beneath knowing it must end and that is all i want hereto draw my gaunt spirit to bow beneath what i am allowed beneath what i am allowed 
divers,2015,goose eggs,what we built at the kiln that wont be stilled did not set well the old veil of desire like the vessels that we fired fell thin as eggshells and every season somebody burns downtown taking turns—taking a bus to take a train and just plain vamoose now the wind blows coals over the hills honey ive been paying my bills but honey its been a long time since ive come to any use and it hurt me bad when i heard the news that youd got that call and could not refuse a goose alone i suppose can know the loneliness of geese who never find their peace whether north or south or west or east west or east and i could never find my way to being the kind of friend you seemed to need in me till the needing had ceased recently a bottle of rye and a friend and me on our five loose legs had a ramble and spoke of the scrambling of broken hopes and goose eggs and a stranger long ago not you honey you i know we just spoke of broken hopes and old strangers now the wind blows coals over the sea tell you what honey you and me better run and see if we cant contain them first but you had somewhere that you had to go and you caught that flight out of covalo now overhead youre gunning in those vs where you had better find your peace whether north or south or west or east west or east and i had better find my way to being the kind of friend you seemed to need in me at last at least whats redacted will repeat and you cannot learn that you burn when you touch the heat so we touch the heat and we cut facsimiles of love and death just separate holes in sheets where you cannot breathe and you cannot see and i cannot now for the life of me believe our talk our flock had cause to leave but do we do we
divers,2015,waltz of the 101st lightborne,i believed they had got what they came for i believed our peril was done on the eve of the last of the great wars after three we had narrowly won but the fourth it was carelessly done saw his ship in its whistling ascension as they launched from the capitol seat swear i saw our mistake when the clouds draped like a flag across the backs of the fleet of the hundred first lightborne elite as the day is long so the well runs dry and we came to see time is taller than space is wide and we bade goodbye to the great divide found unlimited simulacreage to colonize but there was a time we were lashed to the prow of a ship you may board but not steer before you and i ceased to mean now and began to mean only right here to mean inches and miles but not years before space had a taste of its limits and a new sort of coordinate awoke making time just another poor tenant bearing weight taking fire trading smokes in the war between us and our ghosts but i saw the bering strait and the golden gate in silent suspension of their golden age and you can barely tell if i guard it well where i have been and seen pristine unfelled and i had a dream that i walked in the garden of chabot and those telescope ruins it was there that i called to my true love who was pale as millennial moons honey where did you come by that wound when i woke he was gone and the war had begun in eternal return and repeat calling where in the hell are the rest of your fellow one hundred one lightborne elite stormed in the new highland light infantry make it stop my love we were wrong to try never saw what we could unravel in traveling light or how the trip debrides like a stack of slides all we saw was that time is taller than space is wide thats why we got bound to a round desert island neath the sky where our sailors have gone have they drowned in those windy highlandshighlands away my john 
divers,2015,the things i say,if i have the space of half a day im ashamed of half the things i say im ashamed to have turned out this way and i desire to make amends but it dont make no difference now and noones listening anyhow and lists of sins and solemn vows dont make you any friends theres an old trick played when the light and the wine conspire to make me think im fine im not but i have got half a mind to maybe get there yet when the sky goes pink in paris france do you think of the girl who used to dance when youd frame her moving within your hands saying this i wont forget what happened to the man you were when you loved somebody before her did he die or does that man endure somewhere far away our lives come easy and our lives come hard and we carry them like a pack of cards some we dont use but we dont discard but keep for a rainy day 
divers,2015,divers,the diver is my loveand i am his if i am not deceived who takes one breath above for every hour below the sea who gave to me a jewel worth twice this womans life but would cost her less than laying at low tide to see her true love phosphoresce and in an infinite regress tell me why is the pain of birth lighter borne than the pain of death i aint saying that i loved you first but i loved you best i know we must abide each by the rules that bind us here the divers and the sailors and the women on the pier but how do you choose your form how do you choose your name how do you choose your life how do you choose the time you must exhale and kick and rise and in an infinite capsize like a bull tearing down the coast double hulls bearing double masts—i dont know if you loved me most but you loved me last recall the word you gaveto count your way across the depths of this arid world where you would yoke the waves and lay a bed of shining pearls i dream it every night the ringing of the pail the motes of sand dislodged the shucking quick and bright the twinned and cast off shells reveal a single heart of white and in an infinite backslide ancient border sink past the west like a sword at the bearers fall i cant claim that i knew you best but did you know me at alla woman is alive a woman is alive you do not take her for a sign in nacre on a stone alone unfaceted and fine and never will i wed ill hunt the pearl of death to the bottom of my life and ever hold my breath till i may be the divers wife see how the infinite divides and the divers are not to blame for the rift spanning distant shores you dont know my name but i know yours 
divers,2015,same old man,its the same old lady putting out the wash standing in the rain in her mackintosh same old lady standing in the rain the thought of new york was going insane hey little leaf lying on the ground now youre turning slightly brown why dont you come back on the tree turn the color green the way you ought to bemy mind is failing and my body grows weak and my lips wont form the words i speak and im floating away on a barrel of pain new york city wont see me again its the same old man sitting at the mill mill wheel turning of its own free will im certainly glad to be at home new york city continues on alone im certainly glad to be at home new york city continues on alone new york city continues on alone new york city continues   
divers,2015,you will not take my heart alive,and what do you remember most the line of the sea seceding the coast fine capillaries glowing with cars the comfort you drew from the light of the stars and how long did you climb that night with the ice in your lungs on the rungs of the light beyond recall you severed all strings to everyone and everything oh silent constant driver of mine wordlessly calling from the end of the line where even though each hour i ever loved must queue and dive still you will not take my heart alive you will not take my heart alive you will not take my heart alive you will not take my heart in martial wind and in clarion rain we minced into battle wincing in pain not meant for walking backs bound in twine not angel or devil but level in time and i rose to take my shape at last from the dreams that had dogged me through every past when to my soul the body would say you may do what you like as long as you stay now the towns and forests highways and plains fall back in circles like an emptying drain and i wont come round this way again where the lonely wind abides and you will not take my heart alive you will not take my heart alive you will not take my heart alive you will not take my heart alive you will not take my heart alive you will not take my heart alive you will not take my heart alive you will not take my heart 
