,Album,Song,Lyrics
29,Ys (2006),Sawdust & Diamonds,"From the top of the flightof the wide, white stairs, through the rest of my life, do you wait for me there? There’s a bell in my ears. There’s the wide, white roar. Drop a bell down the stairs. Hear it fall forevermore. Hear it fall forevermore. Drop a bell off of the dock. Blot it out in the sea. Drowning mute as a rock; and sounding mutiny. There’s a light in the wings, hits the system of strings, from the side, where they swing —see the wires, the wires, the wires. And the articulation in our elbows and kneesmakes us buckle; and we couple in endless increaseas the audience admires. And the little white dove, made with love, made with love; made with glue, and a glove, and some pliersswings a low sickle arc, from its perch in the dark: settle down, settle down, my desire. And the moment I slept, I was swept up in a terrible tremor. Though no longer bereft, how I shook! And I couldn’t remember. And then the furthermost shake drove a murthering stake in, and cleft me right down through my center. And I shouldn’t say so, but I know that it was then, or never. Push me back into a tree. Bind my buttons with salt. Fill my long ears with beespraying please please please loveyou ought not No you ought not And then the system of strings tugs on the tip of my wings(cut from cardboard and old magazines): makes me warble and rise, like a sparrow. And in the place where I stood, there is a circle of wood —a cord or two — which you chop, and you stack in your barrow. It is terribly good to carry water and chop wood, streaked with soot, heavy-booted and wild-eyed; as I crash through the rafters, and the ropes and the pulleys trail afterand the holiest belfry burns sky-high. And then the slow lip of fire moves across the prairie with precision, while, somewhere, with your pliers and glue, you make your first incision. And in a moment of almost-unbearable vision, doubled over with the hunger of lions, Hold me close, cooed the dove, who was stuffed, now, with sawdust and diamonds. I wanted to say: Why the long face. Sparrow, perch and play songs of long face. Burro, buck and bray songs of long face! Sing, I will swallow your sadness, and eat your cold clay, just to lift your long face; And though it may be madness, I will take to the graveyour precious longface. And though our bones they may break, and our souls separate —Why the long face? And though our bodies recoil from the grip of the soil —Why the long face? And in the trough of the waves, which are pawing like dogs, pitch we, pale-faced and grave, as I write in my log. Then I hear a noise from the hull, seven days out to sea. And it is the damnable bell! And it tolls — well, I believe that it tolls — it tolls for me. And it tolls for me. And though my wrists and my waist seemed so easy to break, still, my dear, I’d have walked you to the edge of the water. And they will recognize all the lines of your facein the face of the daughter of the daughter of my daughter. And darling, we will be fine; but what was yours and mineappears to me a sandcastlethat the gibbering wave takes. But if it’s all just the same, then will you say my name; say my name in the morning, so that I know when the wave breaks. I wasn’t born of a whistle, or milked from a thistle at twilight. No; I was all horns and thorns, sprung out fully formed, knock-kneed and upright. So: enough of this terror. We deserve to know light, and grow evermore lighter and lighter. You would have seen me through, But I could not undo that desire. O, desire! O, desire! O, desire! Desire, desire, desire, desire. From the top of the flightof the wide, white stairs Through the rest of my life Do you wait for me there? "
30,Ys (2006),Only Skin,"And there was a booming above you, that night black airplanes flew over the sea. And they were lowing and shifting likebeached whales, shelled snails, as you strained and you squinted to seethe retreat of their hairless and blind cavalry. You froze in your sand shoal, prayed for your poor soul; sky was a bread roll, soaking in a milk-bowl. And when the bread broke —fell in bricks of wet smoke —my sleeping heart woke, and my waking heart spoke. Then there was a silence you took to mean something: Run, sing, for alive you will evermore be. And the plague of the greasy black engines a-skulkinghas gone east, while you’re left to explain them to me —releasedfrom their hairless and blind cavalry. With your hands in your pockets, stubbily runningto where I’m unfresh, undressed and yawning —Well, what is this craziness? This crazy talking? You caught some small deathwhen you were sleepwalking. It was a dark dream, darlin; it’s over. The firebreather is beneath the clover. Beneath his breathing there is cold clay, forever: a toothless hound-dog choking on a feather. But I took my fishing pole (fearing your fever), down to the swimming hole, where there grows a bitter herbthat blooms but one day a year, by the riverside —I’d bring it here: Apply it gentlyto the love you’ve lent me. While the river was twisting and braiding, the bait bobbedand the string sobbed, as it cut through the hustling breeze. And I watched how the water was kneading so neatly, gone treacly, nearly slowed to a stop in this heat; in a frenzy coiling flush along the muscles beneath. Press on me, we are restless things. Webs of seaweed are swaddling. And you call upon the dusk of themusk of a squid: shot full of ink, until you sink into your crib. Rowing along, among the reeds, among the rushes, I heard your song, before my heart had time to hush it! Smell of a stonefruit being cut and being opened. Smell of a low and of a lazy cinder smoking And when the fire moves away, fire moves away, son. Why would you say I was the last one? Scrape your knee: it is only skin. Makes the sound of violins. And when I cut your hair, and leave the birds all of the trimmings, I am the happiest woman among all women. And the shallow water stretches as far as I can see. Knee deep, trudging along —the seagull weeps ‘so long’ —humming a threshing song —Until the night is over, hold on, hold on; hold your horses back from the fickle dawn. I have got some business out at the edge of town, candy weighing both of my pockets downtill I can hardly stay afloat, from the weight of them(and knowing how the commonfolk condemnwhat it is I do, to you, to keep you warm: Being a woman. Being a woman. )But always up the mountainside you’re clambering, groping blindly, hungry for anything; picking through your pocket linings —well, what is this? Scrap of sassafras, eh Sisyphus? I see the blossoms broke and wet after the rain. Little sister, he will be back again. I have washed a thousand spiders down the drain. Spiders’ ghosts hang, soaked anddangling silently, from all the blooming cherry trees, in tiny nooses, safe from everyone —nothing but a nuisance; gone now, dead and done —Be a woman. Be a woman. Though we felt the spray of the waves, we decided to stay, 'till the tide rose too far. We weren’t afraid, cause we know what you are; and you know that we know what you are. Awful atoll —O, incalculable indiscreetness and sorrow! Bawl bellow: Sibyl sea-cow, all done up in a bow. Toddle and roll; teethe an impalpable bit of leather, while yarrow, heather and hollyhockawkwardly molt along the shore. Are you mine? My heart? Mine anymore? Stay with me for awhile. That’s an awfully real gun. I know life will lay you down, as the lightning has lately done. Failing this, failing this, follow me, my sweetest friend, to see what you anointed, in pointing your gun there. Lay it down! Nice and slow! There is nowhere to go, save up; up where the light, undiluted, isweaving, in a drunk dream, at the sight of my baby, out back: back on the patio, watching the bats bring night in— while, elsewhere, estuaries of wax-whitewend, endlessly, towards seashores unmapped. *Last week, our picture windowproduced a half-word, heavy and hollow, hit by a brown bird. We stood and watched her gape like a rattlesnakeand pant and labor over every intake. I said a sort of prayer for some rare grace, then thought I ought to take her to a higher place. Said, “dog nor vulture nor cat shall toy with you, and though you die, bird, you will have a fine view. ”Then in my hot hand, she slumped her sick weight. We tramped through the poison oak, heartbroke and inchoate. The dogs were snapping, and you cuffed their collarswhile I climbed the tree-house. Then how I hollered! Well she’d lain, as still as a stone, in my palm, for a lifetime or two; then saw the treetops, cocked her head, and up and flew. (While back in the world that moves, often, according tothe hoarding of these clues, dogs still run roughly aroundlittle tufts of finch-down. )And the cities we passed were a flickering wasteland, but his hand, in my hand, made them hale and harmless. While down in the lowlands, the crops are all coming; we have everything. Life is thundering blissful towards deathin a stampedeof his fumbling green gentleness. You stopped by; I was all alive. In my doorway, we shucked and jived. And when you wept, I was gone; see, I got gone when I got wise. But I can’t with certainty say we survived. Then down and downand down and downand down and deeper, stoke, without sound, the blameless flames, you endless sleeper. Through fire below, and fire above, and fire within, sleep through the things that couldn’t have been, if you hadn’t have been. And when the fire moves away, fire moves away, son. And why would you say I was the last one? All my bones, they are gone, gone, gone. Take my bones, I don’t need none. Cold, cold cupboard, lord, nothing to chew on! Suck all day on a cherry stone. Dig a little hole not three inches round —Spit your pit in a hole in the ground. Weep upon the spot for the starving of me! Till up grows a fine young cherry tree. When the bough breaks, what’ll you make for me? A little willow cabin to rest on your knee. Well, what will I do with a trinket such as this? Think of your woman, who’s gone to the west. But I’m starving and freezing in my measly old bed! Then I’ll crawl across the salt flats, to stroke your sweet head. Come across the desert with no shoes on! I love you truly, or I love no-one. Fire moves away. Fire moves away, son. Why would you say that I was the last one? Last one? Clear the room! There’s a fire, a fire, a fire. Get going, and I’m going to be right behind you. And if the love of a woman or two, dear, could move you to such heights, then all I can dois do, my darling, right by you. "
31,Ys (2006),Cosmia,"When you ate, I saw your eyelashes. Saw them shake likewind on rushes. In the cornfield, when she called me Moths surround me. Thought they’d drown me. And I miss your precious heart. And I miss your precious heart. Dried rose petals —redbrown circles —frame your eyes andstain your knuckles. Dried rose petals —redbrown circles —frame your eyes andstain your knuckles. And all those lonely nightsdown by the river, brought me bread and water(Water, in. ); But though I tried so hard, my little darlin, I couldn’t keep the night from coming in. And all those lonely nightsdown by the river, brought me bread and waterby the kith and the kin; Now in the quiet hour, when I am sleeping, I cannot keep the night from coming in. Why’ve you gone away? Gone away again? I’ll sleep through the rest of my days, if you’ve gone away again. I’ll sleep through the rest of my days. And I will sleep through the rest of my days. And I'll sleep through the rest of my days. Why’ve you gone away. Seven suns, seven suns away, away. Away, away. Can you hear me? Will you listen? Don’t come near me. Don’t go missing. And in the lissome light of evening: Help me, Cosmia; I’m grieving. And all those lonely nightsdown by the river, Brought me bread and water(Water, in. ); But though I tried so hard, my little darlin, I couldn’t keep the night from coming in. And all those lonely nightsdown by the riverbrought me bread and waterin the kith and the kin; Now in the quiet hour, when I am sleeping, I cannot keep the night from coming in. *Beneath the porch-lightwe’ve all been circling. Beat our dust hearts; singe our flour wings. But in the corner, something is happening! Wild Cosmia, what have you seen? Water were your limbs, and the fire was your hair —and then the moonlight caught your eye, and you rose through the airwell, if you’ve seen true light, then this is my prayer: will you call me, when you get there? And I miss your precious heart; And I miss your precious heart; and miss, and miss, and miss, & miss, & miss, &miss, & miss, & miss your heart. But release your precious heart, to its feast, for precious hearts. "
32,Joanna Newsom and the Ys Street Band (2007),Colleen,"I tell it as I best know how, And that's the way it was told to me: Must have once been a thief or a whore, Then surely was thrown overboard, Where, they say, I came their way from the deep blue sea. It picked me up and tossed me round. I lost my shoes and tore my gown. Forgot my name, And drowned. Then woke up with the surf a-pounding; It seemed I had been run aground. Well they took me in and shod my feet And taught me prayers for chastity And said my name would be Colleen, and I was blessed among all women, To have forgotten everything. And as the weeks and months ensued I tried to make myself of use. Tilled and planted, but could not produce —not root, nor leaf, nor flower, nor bean; Lord! It seemed I overwatered everything. And I hate the sight of that empty air, like stepping for a missing stairand falling forth forever blindly: cannot grab hold of anything! No, Not I, most blessed among Colleens. *I dream some nights of a funny sea, as soft as a newly born baby. It cries for me so pitifully! And I dive for my child with a wildness in me, and am so sweetly there received. But last night came a different dream; a gray and sloping-shouldered thingsaid ""What's cinched 'round your waist, Colleen? Is that my very own baleen? No! Have you forgotten everything? ""This morning, 'round the cape at dawn, some travellers sailed into townwith scraps for sale and the saddest songsand a book of pictures, leather-bound, thatshowed a whale with a tusk a meter long. Well I asked the man who showed it me, ""What is the name of that strange beast? ""He said its name translated roughly to He-Who-Easily-Can-Curve-Himself-Against-The-Sky. And I am without words. He said, ""My lady looks perturbed. (the light is in your eyes, Colleen). ""I said, ""Whatever can you mean? ""He leaned in and said, ""You ain't forgotten everything. ""*""You dare to speak a lady's name? ""He says, ""My lady is mistaken. I would not speak your name in this place; and if I were to try then the wind — I swear —would rise, to tear you clean from me without atrace. """"Have you come, then, to rescue me? ""He laughed and said, ""from what, 'colleen'? ""You dried and dressed most willingly. you corseted, and caught the dread diseaseby which one comes to know such peace. ""Well, it's true that I came to know such things asthe laws that govern propertyand the herbs to feed the babes that wean, and the welting weight for every season; but still I don't know any goddamned ""Colleen. ""*Then dive down there with the lights to leadthat seem to shine from everything —down to the bottom of the deep blue sea; down where your heart beats so slow, and you never in your life have felt so free. Will you come down there with me? Down where our bodies start to seem likeartifacts of some strange dream, which afterwards you can't decipher, and so, soon, have forgotten Everything. *"
33,Joanna Newsom and the Ys Street Band (2007),"Clam, Crab, Cockle, Cowrie","That means no where I come from. I am cold, out waiting for the day to come. I chew my lips, and I scratch my nose: feels so good to be a rose. Oh don't, don't you lift me uplike I'm that shy, no no no no no, just give it up —There are bats all dissolving in a rowinto the wishy-washy dark that cannot let go. Well I cannot let go, so I thank the lord, and I thank his sword! 'tho it be mincing up the morning, slightly bored O, morning without warning like a hole, And I watch you go. There are some morningswhen the sky looks like a road. And there are some dragonswho were built to have and hold. And some machinesare dropped from great heights lovingly. And some great bellies ache with many bumblebees(and they sting so terribly). I do as I please. And now I'm on my knees. Your skin is something that I stir into my tea. (Second voice: Your soul is something that I stir into my tea)And I am watching youand you are starry, starry, starryand I'm tumbling down, and I check a frown. Well, just look around. It's why I love this town: just see me serenaded hourly! and celebrated sourly! and dedicated dourly; waltzing with the open sea —clam, crab, cockle, cowrie: will you just look at me? "
34,Joanna Newsom and the Ys Street Band (2007),Cosmia,"When you ate, I saw your eyelashes. Saw them shake likewind on rushes. In the cornfield, when she called me Moths surround me. Thought they’d drown me. And I miss your precious heart. And I miss your precious heart. Dried rose petals —redbrown circles —framed your eyes andstained your knuckles. Dried rose petals —redbrown circles —framed your eyes andstained your knuckles. And all those lonely nightsdown by the river, brought you bread and water(Water, in. ); But though I tried so hard, my little darlin, I couldn’t keep the night from coming in. And all those lonely nightsdown by the river, brought me bread and waterby the kith and the kin; Now in the quiet hour, when I am sleeping, I cannot keep the night from coming in. Why’ve you gone away? Gone away again? I’ll sleep through the rest of my days, if you’ve gone away again. I'll sleep through the rest of my days. I'll sleep through the rest of my days. And I will sleep through the rest of my days. Why’ve you gone away, away. Seven suns, seven suns away, away. Away, away. Can you hear me? Will you listen? Don’t come near me. Don’t go missing. And in the lissome light of evening: Help me, Cosmia; I’m grieving. And all those lonely nightsdown by the river, Brought me bread and water(Water, in. ); But though I tried so hard, my little darlin, I couldn’t keep the night from coming in. And all those lonely nightsdown by the river Brought me bread and waterby the kith and the kin; Now in the quiet hour, when I am sleeping, I cannot keep the night from coming in. *Beneath the porch-lightwe’ve all been circling. Beat our dust hearts; singe our flour wings. But in the corner, something is happening! Wild Cosmia, what have you seen? Water were your limbs, and the fire was your hair —and then the moonlight caught your eye, And you rose through the airwell, if you’ve seen true light, then this is my prayer: will you call me, when you get there? And I miss your precious heart; And I miss your precious heart; and miss, and miss, and miss, & miss, & miss, &miss, & miss, & miss your heart. But release your precious heart, to its feast, for precious hearts. "
35,Have One on Me (2010),Easy,"Easy, easy. My man and me, we could rest and remain here, easily. We are tested and painedby what's beyond our bed. We are blessed and sustainedby what is not said. No-one knows what is coming, orwho will harvest what we have sown, or how I've been dulling, and dumbing, in the service of the heart alone, or how I am worn to the boneby the river, and, in the river made of light, I'm your little life-giver. I will give my life. Haven't you seen what I've seen? Don't you know what you ought to do? I was born to love, and I intend to love you. Down in the valley, where the fields are green, Watch my luck turn, fro and to; pluck every last daisy clean, till only I may love you. I am easy, easy to keep. Honey, you please meeven in your sleep. But my arms want to carry. My heart wants to hold. Tell me your worries. I want to be told. Sit, and see how the fog, from the port in the bay, lays like snowat the foot of the roanoke; hear the frog, going courting, till the day he croaks, saying, even then, How there is light in the river. And there's a river made of light. C'mon, you little life-giver. Give your life. Who asked you? Asked youif you want to be loved by me? Who died, and made you in chargeof who loves who? All the livelong day, if I have my way, I will love you. But One can't carry the weight, or change the fate, of Two. I've been waiting for a break. How long's it gonna take? Let me love you. How about it? How about what I have to say? How about that livelong day? How am I gonna stay herewithout you? Easy, easy. You must not fear. You must meet me, to see me. I am barely here. But, like a Bloody Mary, seen in the mirror: speak my nameand I appear. Speak my nameand I appear. Speakand I appear. "
36,Have One on Me (2010),Have One on Me,"From the courtyard, I floated inand watched it go down. Heard the cup drop; thought, ""Well, that's why they keep them around. ""The blackguard sat hard, down, with no head on him now, and I felt so bad, cause I didn't know howto feel bad enoughto make him proud. By the time you read this, I will be so far away. Daddy longlegs, how in the worldam I to be expected to stay? In the night —in the night, you may hear me call Pa, stay your handand steel your resolve. Stay where you are, so long and tall. Here's Lola — ta da! — to doher famous Spider Dance for you! Lighten up your pockets! Shake her skirts and scatter, there, a shrieking, six-legged millionairewith a blight in his sockets. Miss Montez, the Countess of Lansfeld, appealed to the King of Bavaria, saying, ""Pretty papa, if you are my friend —mister daddy longlegs, they are at it again! —Can I see you? ""Poor Lola! A tarantula's mounting Countess Lansfeld'shandsome brassiere, while they all cheer. And the old king fell from grace, while Lola fled, To save face and her career You caught a fly, floating by, Wait for him to drown in the dust; drown in the dust of other flies, whereby the machine is run, and the deed is done. Heaven has no wordfor the way you and your friendshave treated poor Louis. May god save your poor soul, Lola. (But there is nothing I adore, apart from that whore's black heart. )Well, doesn't that just beat all! Miss Gilbert, called to Castlemaineby the silver dollar and the gold glitter! Well, I've seen lots, but never, in a million years, would think to see you, here. Though the long roadbegins and ends with you, I cannot seem to make amendswith you, Louis. When we go out, they're bound to see you with me. At night, I walk in the park, with a whip, between the linesof the whispering Jesuits, who are poisoning you against me. There's a big black spiderhanging over my door. Can't go anywhere, anymore. Tell me, are you with me? I called to you, several times, while the change took placeand then arrived, all night, and I died. But all these songs, when you and I are long gone, will carry on. Mud in your eye. You asked my hand, hired a band. ""In your heart is all that you need; ask and you will receive, "" it is said. I threw my bouquet, and I knocked 'em dead. Bottle of white, bottle of red. Helpless as a child, when you held me in your arms, and I knew that no othercould ever love me as you loved. Love me as you loved. But help me! I'm leaving! I remember everything, down to the sound of you shaving —the scrape of your razor, the dully-abrading black hairthat remainedwhen you clutched at me, that night I came upstairs, half-dead, and, in your kindness, you put me straightawayin the cupboard, with a bottle of champagne, and then, later, on a train. It was dark out, I was half-dead. I saw a star fall into the sky, like a chunk of thrown coal, as if god himself spatlike a cornered rat. I really want you to do this for me, will you have one on me? It was dark; I was drunk and half-dead, and we slept, knocking heads, sitting up in the star-smoking air, knocking heads like buoys. Don't you worry for me! Will you have one on me! Meanwhile, I will raise my own glassto how you made me fastand expendable, and I will drink to your excellent health, and your cruelty. Will you have one on me? — helpless as a child, when you held me in your arms, and I knew that no othercould ever love me —From the courtyard, I floated inand watched it go down. Heard the cup drop; thought, ""Well, that's whythey keep them around. ""The blackguard sat hard, down, with no head on him now, and I felt so bad, cause I didn't know howto feel bad enoughto make him proud. Well daddy longlegs, are you? Daddy longlegs, are you? Daddy longlegs, are you proud? "
37,Have One on Me (2010),'81,"I found a little plot of land, in the garden of Eden. It was dirt, and dirt is all the same. I tilled it with my two hands, and I called it my very own; there was no-one to dispute my claim. Well, you'd be shockedat the state of things —the whole placehad just cleared right out. It was hotter'n hell, so I laid me by a spring, for a spell, as naked as a trout. The wandering eye that I have caughtis as hot as a wandering sun. But I will want for nothing more, in my garden: start again, in my hardening to every heart but one. Meet me in the garden of Eden. Bring a friend. We are gonna have ourselves a time. We are gonna have a garden party. It's on me! No, sirree, it's my dime. We broke our hearts, in the war between St. George and the dragon, but both, in equal parts, are welcome to come along. I'm inviting everyone. Farewell to loves that I have known, Even muddiest waters run. Tell me, what is meant by sin, or none, in a gardenseceded from the unionin the year of A. D. 1? The unending amends you've madeare enough for one life. Be done. I believe in innocence, little darling. Start again. I believe in everyone. I believe, regardless. I believe in everyone. "
38,Have One on Me (2010),Good Intentions Paving Company,"Twenty miles left to the show. Hello, my old country. Hello. Stars are just beginning to appear, and I have never, in my life, before been here. And it's my heart, not me, who cannot drive, at which conclusion you arrived, watching me sit here, bolt upright, and cry for no good reasonat the Eastering sky. And the tilt of this strange nation, and the will to remain for the duration(waving the flag, feeling it drag). Like a bump on a bump on a log, baby; like I'm in a fistfight with the fog, baby; step, ball-change, and a-pirouette! And I regret, I regrethow I said to you, Honey, just open your heart, when I've got troubleeven opening a honey jar. And that, right there, is where we are. And I've been 'fessing, double-fast, addressing questions nobody asked. I'll get this joy off of my chest, at last, and I will love youtill the noise has long since passed. And I did not mean to shout, Just drive, Just get us out, dead or alive. The road's too long to mention —Lord, it's something to see! —laid down by the Good Intentions Paving Company, all the way to the thingwe've been playing at, darling. I can see that you're wearingyour staying-hat, darling. And for the time being, all is well. Won't you love me a spell? This is blindness, beyond all conceiving, while behind us, the road is leaving, and leaving, and falling backlike a rope gone slack. And, I saw straightawaythat the lay was steep, but I fell for you, honey, easy as falling asleep. And that, right there, is the course I keep. And no amount of talkingis going to soften the fall, but, like after the rain, step out of the overhang. That's all. It had a nice ring to it, when the old opry house rang, so, with a solemn auld langsyne, sealed, delivered, I sang. And there is hesitation, and it always remains(concerning you, me, and the rest of the gang), and, in our quiet hour, I feel I see everything, and am in lovewith the hookupon which everyone hangs. And I know you meantto show the extentto which you gave a goddang —you ranged real hot and real cold, but I'm sold, I am at home on that range. And I do hate to fold, right here, at the top of my game, when I've been tryingwith my whole heart and soulto stay right here, in the right lane. But it can make you feel over, and old(Lord, you know it's a shame), when I only want for you to pull over, and hold me, till I can't remember my own name. "
39,Have One on Me (2010),No Provenance,"Allelu, allelu: I have died happy, and lived to tell the tale to you. I have slept for forty years, and woke to find me gone. I woke safe and warm in your arms. In your arms, your arms, in your arms. Not informed of the natural law, squatting, lordly, on a stool, in a stall, we spun gold clear out of straw. And, when our bales of bullionwere stored, you burned me like a barn. I burned safe and warm in your arms. In your arms, your arms. I'm afraid of the Big Return. There's a certain conversation lost, and that loss incurredwith nobody remaining, to register who had passed this way, in the night, in the middle of the night(negating their grace and their sight), till only I remember, or mark, how we had our talk: We took our ride, so that there was no-one home, and the lights of Romeflickered and died. And, what's more, I believe that you knew it, too; I think you saw their flares, and kept me safely unawares, in your arms. Your arms, in your arms. The grass was tall, and strung with burrs, I essayed that high sashay which, in my mind, was my way; you hung behind, in yours. Anyhow, she did not neigh. I do not knowwhat drew our eyes to hers; that little black mare did not stir, till I lay down in your arms. Poor old dirty little dog-size horse! —swaying and wheezing, as a matter of course; swaying and wheezing, as a matter of pride. That poor old nag, not four palms wide, had waited a long time, coated in salt, buckled like a ship run foul of the fence. And in the middle of the night, she'd sprung up, no provenance, bearing the whites of her eyes. And you, with your'arrangement' with Fate, nodded sadly at her lame assaulton that steady old gate, her faultlessly etiolated fishbelly-face; the muzzle of a ghost. And, pretty Johnny Appleseed, via satellite feed, tell us, who was itthat you then loved the most? Pretty Johnny Appleseed, leave a trail that leadsstraight back down to the farm. Lay me downsafe and warm in your arms. In your arms. "
40,Have One on Me (2010),Baby Birch,"This is the song for Baby Birch. I will never know you. And at the back of what we've done, there is that knowledge of you. Well I wish we could take every path. I could spend a hundred yearsadoring you. Yes, I wish we could take every path, because you know I hated to closethe door on you. Do you remember staring, up at the stars, so far away in their bulletproof cars? We heard the rushing, slow intakeof the dark, dark water, and the engine breaks, and I said, How about them engine breaks? And, if I should die before I wake, will you keep an eye on Baby Birch? Because I'd hate to see hermake the same mistakes. When it was dark, I called and you came. When it was dark, I saw shapes. When I see stars, I feel, in your hand, and I see stars, and I reel, again. Well mercy me. I'll be goddamned. It's been a long, long timesince I last saw you. And I have never known the plan. It's been a long, long time. How are you? Your eyes are green. Your hair is gold. Your hair is black. Your eyes are blue. I closed the ranks, and I doubled back —but, you know, I hated to closethe doggone door on you. We take a walk along the dirty lake. Hear the goose, cussing at me over her eggs. You poor little cousin. I don't want your dregs(A little baby fussing over my legs). There is a blacksmith, and there is a shepherd, and there is a butcher-boy, and there is a barber, who's cuttingand cutting away at my only joy. I saw a rabbit, as slick as a knife, and as pale as a candlestick, and I had thought it'd be harder to do, but I caught her, and skinned her quick: held her there, kicking and mewling, upended, unspooling, unsung and blue; told her ""wherever you go, little runaway bunny, I will find you. ""And then she ran, as they're liable to do. Be at peace baby, and be gone. Be at peace baby, and be gone. "
41,,On a Good Day,"Hey hey hey, the end is near! On a good day, you can see the end from here. But I won't turn back, now, though the way is clear; I will stay for the remainder. I saw a life, and I called it mine. I saw it, drawn so sweet and fine, and I had begun to fill in all the lines, right down to what we'd name her. Our nature does not change by will. In the winter, 'round the ruined mill, the creek is lying, flat and still; it is water, though it's frozen. So, 'cross the years, and miles, and through, on a good day, you can feel my love for you. Will you leave me be, so that we can stay trueto the path that you have chosen? "
42,,"You and Me, Bess","We picked our waydown to the beach, watching the wavesdragging out of our reach: tangling tails, like a sodden sheet; dangling entrailsfrom the gut of the sea. Hoarding our meals (alfalfa and rolls); trying not to catchthe cold eye of the gulls —I hope Mother Nature has notoverheard! (Though, she doles out hurtlike a puking bird. )We stayed for the winter. No-one told usabout the laws of the land. I hold my own. But you, with your hunger —you, on the other hand —make yourself known. And when we were found, I know we both grieved. My heart made the sound ofsnow falling from eaves. You and me, Bess, we was as thick as thieves. So I swore, nonetheless, up and down, it was only me. So they took me away, and, after some timestudying my case, must have made up their minds. By the time you realized I was dying, must have been too late. I believe you were not lying. It is the day. I wake, with my ears cocked up like a gun(like every day, of course), yanked by my wriststo the sugar-front courtyard —now tell me, what have I done? seems I have stolen a horse. and I step to the gallows. Who do you think that you are —arching your hooves like a crane, in the shallow gutterthat lines the boulevards, crowded with folkswho just stare as I hang? It's all the same. Kindness comes over me; what was your name? It makes no difference. I'm glad that you came. Forever, I'll listen to your glad neighing. "
43,,In California,"My heart became a drunken runton the day I sunk in this shunt, to tap me cleanof all the wonderand the sorrow I have seen, since I left my home: My home, on the old Milk Lake, where the darkness does fall so fast, it feels like some kind of mistake(just like they told you it would; just like the Tulgeywood). When I came into my land, I did not understand: neither dry rot, nor the burn pile, nor the bark-beetle, nor the dry well, nor the black bear. But there is another, who is a little older. When I broke my bone, he carried me up from the riverside. To spend my lifein spitting-distanceof the love that I have known, I must stay here, in an endless eventide. And if you come and see me, you will upset the order. You cannot come and see me, for I set myself apart. But when you come and see me, in California, you cross the border of my heart. Well, I have sown untidy furrowsacross my soul, but I am still a coward, content to see my garden growso sweet & fullof someone else's flowers. Sometimes I can almost feel the power. Sometimes I am so in love with you(like a little clockthat trembles on the edge of the hour, only ever calling out ""Cuckoo, cuckoo""). When I called you, you, little one, in a bad way, did you love me? Do you spite me? Time will tell if I can be well, and rise to meet you rightly. While, moving across my land, brandishing themselveslike a burning branch, advance the tallow-colored, walleyed deer, quiet as gondoliers, while I wait all night, for you, in California, watching the fox pick off my goldfishfrom their sorry, golden state —and I am no longerafraid of anything, savethe life that, here, awaits. I don't belong to anyone. My heart is heavy as an oil drum. I don't want to be alone. My heart is yellow as an ear of corn, and I have torn my soul apart, frompulling artlessly with fool commands. Some nights I just never go to sleep at all, and I stand, shaking in my doorway like a sentinel, all alone, bracing like the bow upon a ship, and fully abandoningany thought of anywherebut home, my home. Sometimes I can almost feel the power. And I do love you. Is it only timing, that has made it such a dark hour, only ever chiming out, ""Cuckoo, cuckoo""? My heart, I wear you down, I know. Gotta think straight, keep a clean plate; keep from wearing down. If I lose my head, just where am I going to lay it? (For it has half-ruined me, to be hanging around, here, among the daphne, blooming out of the big brown; I am native to it, but I'm overgrown. I have choked my rootson the earth, as rich as roe, here, down in California. )"
44,,Jackrabbits,"I was tired of being drunk. My face cracked like a joke. So I swung through herelike a brace of jackrabbits, with their necks all broke. I stumbled at the door with my boot, and I knocked against the jamb. and I scrabbled at your chest, like a mute, with my fists of ham. trying to tell you that I amtelling you I can —I canlove you again; love you again. I'm squinting towards the East. My faith makes me a dope. But you can take my hand, in the darkness, darling, like a length of rope. I shaped up overnight, you know, the day after she died. when I saw my heart, and I'll tell you, darling, it was open wide. what with telling you I amtelling you I can —I canlove you again; love you again. And it can have no bounds, you know. It can have no end. You can take my handin the darkness, darling, when you need a friend. And it can change in shape or form, but never change in size. Well the water, it ran deep, my darling, where it don't run wide. The feather of a hawk was bound, bound around my neck; a poultice made of fig, the eager little vultures pecked. And a verse I read in jestin Matthew, spoke to me; said There's a flame that moveslike a low-down pestand says, You will be freeonly, tell me that I cantell me that I can: I can love you again; love you again. Love you again, love you again. Love you again, love you again. Love you again, love you again. Love you again, love you again. Love you again, love you. . . "
